,0
1678,"She directed, or allowed, his property to be sold at auction, to pay some debts which he owed her--or, as the historians of the day express it, which he owed _the crown_--and then seemed at once to transfer her fondness and affection to the young Essex, who was at that time twenty-one years of age."
4085,"If anything further were needed to indicate the probability of this, there was a well-favored and very smartly-dressed man standing beside the wagon, and Jordan's face grew suddenly hard as he looked at him."
6087,"MRS. DALBIAC    We must reveal who we are, I fear [to her companion]."
4860,"""Have you seen Mallarme lately?"""
2587,"we bless you then,   Impostors, drivellers, dotards, as the ape                         525   Philosophy will call you: _then_ we feel   With what, and how great might ye are in league,   Who make our wish, our power, our thought a deed,   An empire, a possession,--ye whom time   And seasons serve; all Faculties to whom                           530   Earth crouches, the elements are potter's clay,   Space like a heaven filled up with northern lights,   Here, nowhere, there, and everywhere at once."
1718,ERNEST.
362,"""Paul!"
2475,"The truth is, he is growing very old; and though a piercing radiance, as of stars, bursts occasionally from the central part of him, the outworks are getting decayed and dim; obstruction more and more accumulating, and the immeasurable Night drawing nigh."
3943,"He would be      the Moses of our nineteenth century; and whereas the old      Sinai, silent now, is but a common mountain stared at by the      elegant tourist and crawled over by the hammering geologist,      he must find his tables of the new law here among factories      and cities in this Wilderness of Sin (Numbers xxxiii."
3502,"And he'll be very well off, you know."""
3171,"You will at least do justice to the old priest, when you remember that he never pressed you to take vows that would have prevented this forever."""
4975,Look back again.
6718,"It is not _my_ part, then, I think, to tak fro' _ye_--to be under obligations (as they say) to _ye_."
7191,Nothing could be more decided than your sister's answer.
14961,"[105] _Memoirs_, ii."
8377,"Hawe, listen."
761,"""Bartley!"
1109,(The question respected the young man who had been pressed.)
2822,"It is, indeed, eloquent; for it tells the same glowing tale to all who approach it--a tale fraught with feeling and recollections."""
1638,"And to those small creatures he became at once a place of pleasure, a place where they were secure, and could talk and laugh and play; till, like sunshine, there radiated from old Jolyon's wicker chair the perfect gaiety of three hearts."
38,"""We're a little late."""
1227,"Instead I sent the canoe swiftly forward till his head began to come up, when I crouched low and watched him, so near that every changing expression of his huge face and keen little eyes was seen perfectly without my glasses."
39807,"He works fearfully hard; he's upright, and plucky."
2303,"He feared for himself, not without ground, the fate  which had overtaken his mother; others shared the fear."
1565,"I am a Micah Clarke man, though, from the crown of my head to the soles of my feet; and if he rides to the wars, may the plague strike me if I don't stick to his elbow!'"
4150,"I've known it give sleep, even in consumption--try it, and exercise."
1026,"In another instant he had thrown his arm round her, drawn her to him, and kissed her on the lips."
60351,This happy state of mind can only be attained by the baptism of the Holy Ghost.
1052,"""Oh, no, you wouldn't."
156,Jimmy looked up quickly.
5926,"Now, as before, there was only one road that he could take, for we passed up the crest of a ridge, a pleat as it were in the garment of the mountain, and on either side were steeps of snow on which neither horse nor man might keep his footing."
2487,Facial expression and dignity of bearing were perfect; the whole man seemed saturated with the accepted sentiment of his office.
2363,"Ben cheered up a trifle which looked as if he knew an eye was upon him, but otherwise he went on as usual, and Miss Celia feeling a little guilty at even harboring a suspicion of him, was kind and patient with his moods."
1607,"It will be the advantage of mamma!"""
2993,"""They have lost their belief, then?"""
12289,"We cannot at times work ourselves into a gay humour, any more than we can tickle ourselves into a fit of laughter; foreign agency is necessary."
627,"We went home, and Matteo found waiting for him a message from Checco, bidding him leave the inn and take up his quarters with me at the Palazzo Orsi."
5267,"""I verily believe, if that girl stays a week longer, I shall have to leave the house."""
4606,"Admitting the facts, they raised a point on the correspondence which, divested of legal phraseology, amounted to this: To speak of 'a free hand in the terms of this correspondence' is an Irish bull."
343,"I own that the spectacle gave me a shock of pleasure, and that I ran down to have a nearer view of what human eyes have seldom, if ever, beheld,--an American, pure blood, handling the pick, the shovel, and the wheelbarrow, while an Irishman directed his labors."
201,"At heart she was as fond of pretty things as other girls of her age, and had, when she attired herself, been conscious that she felt a greater satisfaction at her appearance than she ought to have done, and doubted whether she had not made an undue concession to the vanities of society in the matter of her laces and flowers."
4423,"""A fall or a big rapid."
3090,"""But there are still other powers in India, that are likely to give at least as much trouble as Mysore has done."""
2103,"She's my wife."""
3477,"""I had been overworked that week, and was about sick, anyway."
14739,Cheap too.
6217,"Such an unstable 'drift-mould of Accident' is the substance of this lower world, for them that dwell in houses of clay; so, especially in hot regions and times, do the proudest palaces we build of it take wings, and become Sahara sand-palaces, spinning many pillared in the whirlwind, and bury us under their sand!--  In spite of the forty thousand, the National Assembly persists in its thanks; and Royalist Latour du Pin continues Minister."
5068,"Afterwards the Romans built a town upon the site, including, I suppose, the space occupied by the lower city, which looks as if it had brimmed over like Radicofani, and fallen from the precipitous height occupied by the upper."
6141,"He has had a very happy time here (besides the pony) having made friends with all the contadini, who adore him, and helped them to keep the sheep, catch the stray cows, drive the oxen in the grape-carts, and to bring in the vintage generally, besides reading and expounding revolutionary poems to them at evening."
1395,How he must have grieved for me!
1321,"""Neither did I,"" said Fred."
697,This was a high moment of triumph for the landlord's whole family.
1909,"The Colonel Marrable again had a son, who was a Captain Walter Marrable,--and after him the confused reader shall be introduced to no more of the Marrable family."
2805,"Tarzan of the Apes curled up upon the slimy timbers, and was soon asleep."
614,".....................  ""Since you say you are a member of the press,"" said the wild man, ""I am willing to tell you all you wish to know."
252,"The dialogue which they maintained between them, was carried on in Anglo-Saxon, which, as we said before, was universally spoken by the inferior classes, excepting the Norman soldiers, and the immediate personal dependants of the great feudal nobles."
1890,CHAPTER XI.
4714,To such overtures as that Griselda Grantly was as cold as any Diana.
2808,Rapidly the Bushman and his men descended the same path.
7386,But YOU know better?
2098,"From whence it follows, that simple ideas are not fictions of our fancies, but the natural and regular productions of things without us, really operating upon us; and so carry with them all the conformity which is intended; or which our state requires: for they represent to us things under those appearances which they are fitted to produce in us: whereby we are enabled to distinguish the sorts of particular substances, to discern the states they are in, and so to take them for our necessities, and apply them to our uses."
97,"Junio 1720, Lutet."
10718,"She accepted the truth, but the gracious words would not reach her spirit; they were to her as a feast in a hungry man's dream."
1267,But hark!
4692,Juliet's eyes never moved from her until the beautiful neck and shoulders were turned away.
7837,"They live in a perpetual whirl, enough to distract an Archbishop."
1402,"quoth he, in a sort of horror, and looking as if a bad smell had suddenly been thrust under his nose."
5447,"The females of such a family were little less efficient than the males, when posted behind logs; and there were a hundred things in which their habits, experience, and boldness might be made to tell, should matters be pushed to extremities."
11110,"And he's pretty cute, too."
2275,"The six crossed plants produced 282 mature and immature capsules, whilst the six self-fertilised plants produced only 159; or as 100 to 56."
8361,291.
1094,There's your own wife.
7201,"Mr. Wilmot answered that he certainly should not refuse such a boy as Harry, on the proof of such entire penitence and deep feeling."
8442,'How I hate being another bother!'
3419,"""I should have thought she would have enough to do to look after poor old Kenby."""
1395,"The pie, however, had its effect, as also did the exceeding ""boilishness"" of the water which was brought in for his gin-toddy that night; and it was known throughout the establishment that papa was in a good humour, and that mamma had been very clever."
547,"""I trust I make a satisfactory arrangement with Andrew Dilks,"" said Matt to himself."
6643,"If he drew back and broke with Evelyn, he would earn her contempt; Carrie was very staunch and put honor first."
4096,"There was a heavy knee pressing against his back, and an iron hand grasping each of his wrists."
1395,"Bully Smith, you are but jesting with me,"" said Oliver, softening his voice, however, and looking towards the pottingar, as if to discover in what limb or lineament of his wasted face and form lay any appearance of the menaced danger; and his examination reassuring him, he answered boldly: ""Blades and bucklers, man, I would stand the feud of a dozen such as Dwining."
13193,-on the non-variation of weeds.
6228,"Oh, God of Sacrifice, be not wroth at my deed of sacrifice and give me pardon, give me life and peace, that in a time to come I may win the sight of him for whom I die."""
1858,"Amherst was probably unhealthy, for several of the Rangoon converts died there, among them one of the little Burmese girls who had been with Mrs. Judson throughout her troubles."
895,"My lover proceeded further, turning away several old servants and tenants, and supplying me with others from his own house."
997,Poor old governor!
5825,Beyond appeared a yet greater glow.
697,"""Unfortunately there is no one to dance with you, Marian,"" she said; ""but if I had not by chance gone through your uncle's pockets, there would have been no one to meet you."""
1559,"For example:--  It began at St. Giles's and the Westminster end of the town, and it was in its height in all that part by about the middle of July, viz., in St. Giles-in-the-Fields, St. Andrew's, Holborn, St. Clement's-Danes, St. Martin's-in-the-Fields, and in Westminster."
785,he said humbly.
476,"The marriage was celebrated with great parade, and the youthful pair went to reside at a palace called Pont à Mousson, in a grand castle which was given to Isabella by her father as a bridal gift at the time of her marriage."
2477,"Look again at preventible epidemics, like cholera."
1561,And he fairly hugged Jack and Andy.
315,1796.
38,"He suggested, however, that if the minister made his appeal to the Lieutenant-Governor of Venice, Count Toggenburg would no doubt instantly order the exemption of his newspapers from the general rule."
5871,I have lost ten mille.
376,"A blessing it is to be acquainted with my worthy friend, little Major British; and heaven, sure, it was that put the Major into my head, when I heard of this awkward scrape of poor Fog's."
5705,"Lying too far away from the Mississippi to be affected by the lumber interest, they are merely trading points for the farmers, with no perceivable germs of boom in their quiet life."
1305,_--Stimulos dedit æmula virtus._                                    LUCAN.
3355,"Neither wanted anything to eat, but had taken long draughts when they first struck the stream, and as soon as they found a snug spot among some bushes a short distance from the water they lay down and were soon asleep."
3630,The earth had been uptorn by exploding shells.
694,"By afternoon we were a mere shipful of lunatical persons, throwing of things overboard, howling of different songs at the same time, quarrelling and falling together, and then forgetting our quarrels to embrace."
3369,"And then she went to work on the optic, and presently Mrs. Laning declared that the eye was as well as ever."
5102,I promise you that.
9093,"Edward!"""
6724,"She made him, as under the breath of some vague western whiff, homesick and freshly restless; he could really for the time have fancied himself stranded with her on a far shore, during an ominous calm, in a quaint community of shipwreck."
2313,"""Then I will rise; come, take away the candle."""
3267,"The rest of it I paid to a party of miners, who chanced to be coming here, for leave to travel and feed with them."
1560,"Many of Mrs. Golding's more fragile effects had been carried into Mr. Gresham's:  the glasses and china first danced, and then fell off the side-board and broke."
3681,Milty says he'd rather take it himself and save his money.
418,"""Very pleasant, I'm sure,"" Norgate remarked, curling himself up in his corner."
2997,"It was to the moral effect of his words that he must trust: ""Non jubeo, sed si me consulis, suadeo."""
2678,"There's lots of good in you, my boy, though you may not think so."""
1918,"He had sunny-red, curly hair, mischievous blue eyes with long lashes, and he harboured no respect whatever for any individual or institution, sacred or profane; he possessed, however, a shrewd sense of his own value, as many innocent and unsuspecting souls discovered as early as our freshman year, and his method of putting down the presumptuous was both effective and unique."
4864,An investigation was next made in the room.
562,"Bidder and Mr. Smith, were despatched to Ireland, personally to investigate the whole question of railroads in that country."
3821,He expected to see her.
5755,After doing your work you simply walked off and made for your rooms.
1438,"""Why, look here, Uncle Braddock!"
3997,"I did the best I could."""
3405,One cannot blame her.
2055,"In reminding me of that vain aspiration, my infirmity revenges itself: my deafness is not accustomed to be forgotten."
13187,This was hardly the way to give Mr Melmotte peace of mind.
3220,"[326] Preface to _Dissertation sur la Musique Moderne_, pp."
3486,In Susan Bay there is a good coal-shed with a small supply for the use of the colonial steamer.
1503,"""I have no time to waste in chopping riddles."
432,"Can you give me the slightest idea how it came there?"""
5143,"One sees this, in French life, to the very foundation of society."
7617,"He looked perplexed, almost stunned; his language was incoherent, his gestures those of despair."
434,"You said your reason for wishing to get my promise before starting was that your mind would then be more at rest when you were far away, and so could give itself more completely to knowledge than if you went as my unaccepted lover only, fuming with anxiety as to how I should be when you came back."
2915,He ain’t been kept in since.
3620,"At that moment the door was opened, and Arthur came in."
4813,"""Very true, Mr. Weston, perfectly true."
1557,"""The bluejay is an able bird, and has had much experience."
9063,"""There can be nothing wrong in what the ruling Wisdom allows us to acquire without the help of what is evil."
3428,Let us leave the old house to our cousin Jaffrey!
926,"""How shall we address you?"""
812,"""He'll never awake,"" put in the bee-hunter, solemnly--""the man is dead."
3746,"No rest for the wicked."""
3884,"CHAPTER XXIX  AN EXCITING TIME ALL AROUND  ""We've got him!"
1321,It was one of the man's arts to use the peril in which (as I say) he was supposed to stand.
4760,"Mediterranean (according to     Brugière): Teneriffe: Mogador, Africa."
6310,Wordsworth.
9400,330     Thou bright eye of the Mine!
2548,"But I've seen a face like that somewhere--I am sure of it."""
4622,"Hear me, Atli's folk; hear me, carles of Coldback and of Middalhof!"""
1071,He has come here to trade for himself.
2028,Who else is there that any sane man could possibly be in love with?
4643,A miserable little common orange.
635,The pull was hard.
2983,"With regard to individual poems, the critics did not take kindly to the 'Drama of Exile,' and 'Blackwood' in particular criticised it at considerable length, calling it 'the least successful of her works.'"
9247,"""Yes?"""
3890,"What have I done to you, Incubu, Macumazahn, and Bougwan, that ye should leave me desolate?"
3825,"Even this was only done under difficult circumstances, for the steamer was rolling rail under."
3193,"I can't wait on you all day here."""
526,"""Look at those legs."
923,"were you really wandering, Pierre?"""
108,All the virtues he has are heroic virtues.
66,"And though she must with grief reflect, To see a mortal virgin deck'd With graces hitherto unknown To female breasts, except her own: Yet she would act as best became A goddess of unspotted fame."
2109,(44.
1598,"As the lagoon, formed by the chain of islets lying off shore, opened out, Jerry began to smell the reef-villages."
2537,"Peace, man."
1184,"It is the gold of the Incas."""
3122,"He was comely, and he not infrequently loitered at the bakery, even when he was supposed to be elsewhere at his duty."
1557,"What a lucky person you are, Captain Granet!"""
1764,"He proceeded to get one ready, and the two martyrs to the cause stepped in."
3336,"I suspect that before this flora was exterminated by the Glacial epoch, a few forms were widely dispersed to various points of the southern hemisphere by occasional means of transport, and by the aid, as halting-places, of existing and now sunken islands, and perhaps at the commencement of the Glacial period, by icebergs."
1957,"CHAPTER X  For the first few tangled moments of nightmare, slowly developing into a live horror, Dominey fancied himself back in Africa, with the hand of an enemy upon his throat."
2699,And the cashier proceeded to count out the notes with oft-wetted fingers.
410,"Here at Florence, we love not to see a man with his nose projecting over a cascade of hair."
4244,"""You told me yourself that you had broken off my engagement to Bream."""
5498,"""Or any person?"""
773,"STELLA'S BIRTHDAY, 1718."
1958,"It would be easy to conjecture how grossly Jonson must have been misunderstood, and what he had said in jest, as of Hippocrates, interpreted in earnest."
3428,"Well, Beric, are you ready to go out with me?"""
7645,"'Sit down, dear,' he said, gently disengaging Emmeline, 'and tell me all about it."
3027,"""I don't mean chances to marry,"" said Isabel, her colour quickly coming back to her."
2639,To watch was the post of Orla.
2954,"He had not perfected himself into victory over mere Desire; a mean Hunger, in many sorts, was still the motive principle of him."
3229,"The road, however, except in being open through the wood--if wood be not too weighty a name for such an assemblage of light trees--and except in the particulars of evident wheel-tracks--bore no resemblance to any road I had before seen."
3816,"I deceived everybody, therefore, yourself included, and I came down secretly when I was supposed to be in London."
2033,"said Hazard--""a true nor'wester, and butt-end foremost!"""
6983,The matter was now becoming serious.
1901,If Miss Phoebe suffered him to do that she thought he loved her.
3621,"""There would be little pleasure in hunting,"" retorted the first speaker, ""if one is afraid of the thing he hunts."""
6723,They talked about the charm of forty degrees below zero.
1905,"I see the Indian files that keep        Their places in the dusty heather,      Their red trunks standing ankle-deep        In moccasins of rusty leather."
2756,[Applying the decanter to her dips.]
6142,March 7th.
3749,"As chance or ill-luck would have it, the first sight which greeted Her Majesty's eyes was the figure of Lady Ursula, midway up the steps which led to the gallery, some mysterious imp of mischief having contrived that the light from the wax tapers should unaccountably and very vividly fall upon the white-clad form of the young girl."
570,"But Jocko's blood was up, and, leaping to the young man's shoulder, he tore off his straw hat and began to pull it to bits."
1530,"He rushed to the gate, and grasping the iron rails with the energy of desperation, shook it till it rang again, and threw himself against the thick wall as if to force a passage through the stone; but the strong building mocked his feeble efforts, and he beat his hands together and wept like a child."
1279,"It is indeed very like, in its endless power of lurid pictures, to the phenomena of dreaming, which nightly turns many an honest gentleman, benevolent but dyspeptic, into a wretch, skulking like a dog about the outer yards and kennels of creation."
2184,"Swift's reply is dated September 20, and as it was between this period and June that the joint letter must have been written, August is either the true date, or a close approximation to it.]"
5903,"He hurried past them, shuddering, into the choir."
452,2.
2958,I do not believe you to be the least like Seraphina.
1611,"It's bully driving in the early morning."""
1456,GILBERT.
3406,"""Ought to 'ave been in the Service."
4695,I can remember no great sin.
5772,There's no end to 'em.
960,"William, in fact, considered himself as Edward's heir; for as Edward, though married, had no children, the dukes of the Norman line were his nearest relatives."
248,"""Oh, she thinks they're all right!"""
2678,"""Yes, I."
60,"He was about to risk reputation and everything, when a glance from his father quelled the rebellious spirit."
3440,Oh Fame!
2335,"Oh, well, jest ez likely he DIDN'T say it--it was only his gassin'."
647,"Beneath this picture the bugs appeared as:                A BOY AND A DOG   There they were, the three little bugs which always accompanied the little ape."
4269,"He was interrupted by the arrival of one of Morton's followers, sent to report to him the evacuation of the place, and its occupation by the insurgent forces."
3108,He promises to send him to Egypt to please me!
4799,"It carries rain from the roof, and discharges it upon Ishmael’s grave, where pilgrims stand fighting to catch it."
689,170.
10343,"First, he was so cold and so silent, that I thought he was offended."
253,[Weeps.]
1472,"At half-past three next day, Edgar Caswall called at Diana's Grove."
1021,9   Do to them as to Midian bold       That wasted all the Coast.
7285,"I am not the woman you fancy I am, Harry, and you know how I have wronged you."""
2275,"""I am your true accomplice."
2051,Three days' silence.
7038,he demanded.
14635,"Some five hundred pounds or so!"""
3217,"It is true that I was too late to be of service, and that I was nearly wounded by a lance-thrust from one of these dying savages."
5318,"She would not believe at first that I was her brother, and in truth, I found it hard to credit that she was Norah, who was a purty colleen when I saw her last; but when we had convinced each other that we were both who we said we were, matters went on pleasantly."
1656,"Francis had his regular visits of spiritual consolation; John had gone to the hall for his pointers and fowling-piece, the season for woodcock having arrived; and Denbigh had proceeded no one knew whither."
2453,"Are not all young people, when they are old enough to choose between right and wrong, if they choose what is wrong and live bad lives instead of good ones, very like this same deserter and traitor?"
1173,"""Thus march these English, that dewy morning, Thursday, June 27th, 1743, with cannon playing on their left flank; and such a fate ahead of them, had they known it;--very short of breakfast, too, for most part."
1030,MRS HUSHABYE.
811,"I printed them in the papers, and they gave great satisfaction to the publick."
177,"I knew that the only total eclipse of the sun in the first half of the sixth century occurred on the 21st of June, A.D. 528, O.S., and began at 3 minutes after 12 noon."
698,"Here stretch thy body at full length   Or build thy house upon this grave.--      _A CHARACTER_,   _In the antithetical Manner_."
6566,"See, in my life of Jenkin, a remark of his, very well expressed, on the friendships of men who do not write to each other."
2229,"Duncan pulled shut the cover of the companion scuttle, and held on, waiting, the first drops of rain pelting his face, while the Samoset leaped violently ahead, at the same time heeling first to starboard then to port as the gusty pressures caught her winged-out sails."
803,"A man with the blood of the Fogarties, Phil my boy, doesn't wheel about like those fellows of yesterday."""
2536,"I got a draft on a Nassau house, and generally drew greenbacks."
6804,"""I soon discovered, Miles, that if I had neither father, nor mother, brother nor sister, that I had a country and friends."
2335,"I would, indeed."""
2486,"He recovered himself with a stagger, and in three bounds crossed the intervening space and stood before the door in the verandah."
419,It is doubtful if a better choice could have been made.
4810,"Now some of the Boers present said:  ""That is true."
13253,"""Pretty news, ain't it, Toddy?"""
431,or you should see!
22068,"[He goes, pursuing.]"
69506,"This is a revealed truth; and without faith in this, every sinner must be lost."
8783,My master's name was Fosco.
1518,"""Then,"" said Mr. Paramor, ""we must keep a sharp eye on Bellew, and hope for the best."""
2462,All their faces were complacent.
5243,"""She is with her dressmaker at present."""
4501,"Each scholar was indeed required to place her name on the right hand upper corner of every page of her writing-book, for the convenience of the distributors; but this corner was turned down, when the book was brought in, that it might not be seen by the Committee."
34,"It was indeed impossible that traits proper to persons, both living and dead, with whom I have had intercourse in society, should not have risen to my pen in such works as Waverley, and those which, followed it."
47752,"'Speaking of faith, hope, and charity, he confesseth; that faith in nature is before them, but it doth not justify before they come.'"
5176,"there is good cheer in store for you, Queequeg."
811,"""I think I'll go up to the old orchard myself!"""
84,"""They are quite worn out."
3807,"""Oh, Lesher wanted to be leader, you could see that right off,"" declared Tom."
6689,LETTER 39.
810,"""Very cautious, indeed, Mistress Lilias,"" said the steward, nodding his head in assent."
2380,"""If we don't, we'll all be taken to the station house!"""
12828,"I am unworthy of thy love, Maria!"
6598,"There had been some talk, quickly hushed, of a drunken husband, but it had never definitely transpired what had made her run out into the dark night."
3817,"""I cannot tell you why, until you unscrew that machine."
5919,he asked.
6559,"With impotent rage, with turmoil of heart and torment of conscience, Adrian did think it over."
2418,"Donna Maria shall make a good stock of paste, and cut the tick into strips for both widths."
299,But yet she was happy in her baby.
1341,"""Then I suppose he got tired of you and ran away."""
642,"_Multa virûm volvens durando sæcula vincit._ But the question concerning a man's life, that great question in which no delay ought to be counted tedious, is commonly determined in twenty-four hours at the utmost."
4623,"Holmes was sunk in profound thought, and hardly opened his mouth until we had passed Clapham Junction."
6911,"His paper, at the date when I began to know him, was a living, comfortable and decent, but without the least promise of wealth in it, or the hope even of a much better condition."
176,"Had the grasp been on something firm he could easily have held on, but the treacherous sand crumbled out of his grasp, and a second time he was carried back into the sea."
792,"""It shall be as Darius says,"" and the commander half-turned in his chair to face Jerry and me."
2618,"_John_,--putting down his book, and crossing to her, ""Well, dear?"""
249,"Anyhow, he had never taken the pledge, and as long as he hadn't he couldn't see why he should refuse a single glass."
191,"""There wasn't the least noise."
945,"Now it is a certain fact, which  can be proved by the microscope, that a very great part of the best  coal is actually made up of millions of the minute seeds of club- mosses, such as grow--a few of them, and those very small--on our  moors; a proof, surely, not only of the vast amount of the vegetation  in the coal-making age, but also of the vast time during which it  lasted."
379,"The pretext was absurd, and the good lady was struck with its being heartless on the part of her young visitor to reproach poor Benyon with a concession on which she had insisted, and which could only be a proof of his devotion, inasmuch as he left her free while he bound himself."
1719,If only he had not been afraid!
575,"In the conning-tower was Captain Gridley, who, much against his will, was forced to take up his position in that partially sheltered place because the commander of the fleet was not willing to take the chances that all the chief officers of the ship should be exposed to death on the bridge."
669,"The reasons for limitation, as I have already assigned them, _à priori_, seem to me unanswerable; but, not to speak of these, _observation_ assures us that there is, in numerous directions around us, certainly, if not in all, a positive limit—or, at the very least, affords us no basis whatever for thinking otherwise."
2100,"said the Invisible Man, striking the table smartly."
8825,She could think now.
859,"The ground on which the hut stands has also been laid out prettily as a garden, and is inclosed by a wall."
651,It would be welcomed with joy by the large majority of both Zulus and Colonists.
2184,"Let me say, by way of self-denying ordinance, for which you will, I am sure, give me credit, that I believe that comparative anatomy ought to be absolutely abolished."
404,We've ben buryin' them day an' night.
640,"Naturally, had Eugène de Canaples and I crossed swords, matters would have been rendered difficult."""
5029,Miss Milray fastened her gaze vividly upon her.
2699,"""I cannot believe that a simple fear of his discharge would be sufficient motive for any man to kill his employer."""
4189,He began to feel that he could not stand much more of such a life.
71272,"I had heard of you before, by my Master; for He knows all things that are done on the earth; but I have often wondered that any should come from your place, for your town is worse than is the City of Destruction itself."
2490,"From the author's Preface:--  ""The Summer-House Series of children's books, of which the present volume is the first, is an attempt to sketch attractively and simply the wonders of reptile and insect existence, the changes of trees, rocks, rivers, clouds and winds."
5056,At the upper end of the bayou there was a strip of uncleared land which afforded a cover for a portion of our men.
3066,"""It is a practice which I leave to shavelings of all degrees."""
408,"In the transaction with this castellated baron, you have of course been treated with haughtiness, but not with ferocity, and your self-respect swells with a sense of having escaped positive insult; your key clicks cheerfully in your pocket against its gutta-percha number, and you walk up and down the gorgeously carpeted, single-columned, two-story cabin, amid a multitude of plush sofas and chairs, a glitter of glass, and a tinkle of prismatic chandeliers overhead, unawed even by the aristocratic gloom of the yellow waiters."
1218,"Persons of good sense, I have since observed seldom fall into it, except lawyers, university men, and generally men of all sorts who have been bred at Edinburgh."""
58131,"Then thought I with myself, who that goeth on pilgrimage, but would have one of these maps about him, that he may look when he is at a stand which is the way he must take.'"
2133,You might take him to church o' Sundays as far as that goes.'
1212,"You citizens of Paris are far in advance of us in your ideas of comfort and luxury, and the apartments both at Villeroy and in my English home cannot compare with these, except in point of size."
1256,Extraordinarily well bred.
15806,"Worthless as it may appear, that morsel of paper gives you a fortune."""
3513,"I knew now why certain letters of the alphabet had been more tenderly considered than others, and affectionately addressed."
1518,"She had been a hunting woman all her life; and, though she seldom even drove to a meet now, she liked to have her son come in to afternoon tea with her, and talk over the run."
657,"I fear we must let matters take the usual course, trusting to our later efforts to prevent the backsliding which may result."""
246,I fear not all the Sachems in the country.
3368,To the Norman Invasion                                    227    Book III.
551,"""I'm afraid it's the case."""
903,---- Wall street.
2248,says master from the bedclothes quite savage like.
5164,"""How mooch?"""
52,"Shirley, ""the little brown boy,"" as he was known in the family ""Who's Who,"" was asleep in Susan's arms."
4612,'Gilbert!'
553,"The young man, besides, was possibly her brother; brothers are apt to be hasty, theirs being a part in which it is possible, at a comparatively early age, to assume the dignity of manhood; and it occurred to me it might be wise to forestall all possible complications by an apology."
2221,"You     ought not to be angry with me for saying this, for I am quite as     anxious to be with you as you can possibly be to be with me; only, I     can bear to look forward, and have a pleasure in feeling that all my     happiness is to come."
3537,"They stood in a little knot talking, but Miss Nugent, contrary to her usual habit, said but little."
5246,"I shall go slowly, however, and carefully, too, and every man I bring back will be recommended to me by some old soldier whom I know, and who knows the man he recommends, and has seen him work."
7438,"O yes, sir, easily."
1673,"When he came down again he found the evening meal on the table, and, being hungry, he ate his full share."
760,Take Mr. Merrick with you.
596,None of your geniuses are.
2146,"The big-bellied satyr advances to the assault as it travels, shuffling on all-fours; ""rocking"" not traversing; bristling the crest, chattering, mowing and displaying the fearful teeth and tusks."
9378,"""He is such a foolish young man, ma'am; so like a baby about money."
2773,Elizabeth seemed happy; my tranquil demeanour contributed greatly to calm her mind.
2551,"My hair was cut short, and the bone of the skull examined, to discover if the cranium had received any injury."
4945,"""Link ought to be hammered good and hard!"""
2681,We are indeed all conscious that we do possess such sympathetic feelings (23.
2098,A shooting man frae Edinbro' bought Tarn Grahame's _Nance_.
306,"I do not wish to make you vain, but I may add, especially as you are aware of my personal feelings toward you, that you are the only person in the world to whom I would make this offer."""
6436,Any one who had been in a position to read between the lines would have seen that at the back of her great love was some monstrous fear--almost a desperation--as to some secret contingencies which were not disclosed.
